#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
1,Josh Allen,QB,BUF,28.2,34.5,32.2,25.4,18.3,16.1,16.4,13.5,36,28.4,BYE,16.5,30.1,19.3,37.7,32.3,20.3,25.3,405.1,2
2,Kyler Murray,QB,ARI,27.3,33.1,24.7,23.1,27.3,28.9,38.1,BYE,37.9,30.9,20.3,8.9,17.4,18.5,34.1,16.4,3.8,24.4,390.7,3
3,Aaron Rodgers,QB,NYJ,30.8,18.2,24.5,29.6,-,5.8,27.3,22.5,28.9,26.4,22.7,25.6,23.5,30.9,18.3,26.1,26,24.2,387.3,4
4,Patrick Mahomes II,QB,KC,20.4,27.5,40,20.2,30.7,20.6,12,36.6,31.5,BYE,22.5,31.3,19.3,21.6,25.9,20.2,-,25.4,380.4,5
5,Deshaun Watson,QB,CLE,21.8,15.7,18.1,20.9,26.9,32,24.2,-,24.2,14.1,31.4,33.1,20.4,16.6,23.4,26.8,26.8,23.5,376.3,6
6,Russell Wilson,QB,DEN,31.8,34.4,36.8,21.9,25.5,-,32.9,28.7,24.1,11.9,20.1,14.4,16,23.1,13,19.9,18.1,23.3,372.8,7
7,Ryan Tannehill,QB,TEN,19.4,26.8,12.7,BYE,30,29.6,17.3,18.3,14.6,10.8,22.9,19.1,28.6,16.5,37,18.3,28.4,21.9,350.4,8
8,Tom Brady,QB,FA,22.5,9.7,23.9,33.5,14.1,14.6,36.9,19.1,5.4,31.8,14.6,23.7,-,15.6,23.4,29.9,31.3,21.9,349.9,9
9,Justin Herbert,QB,LAC,-,23.2,15.7,24,27.4,BYE,38.5,23.2,23.4,21.5,27.7,17.4,6.4,16.7,28,16.7,33,22.9,342.8,10
10,Lamar Jackson,QB,BAL,27.5,17.6,14.2,26,14.5,28.2,BYE,16.8,18.6,22.5,17.5,-,26.7,34.9,30.2,21.3,25.2,22.8,341.8,11
11,Kirk Cousins,QB,MIN,22.8,1.5,21.4,14.9,15.2,26.7,BYE,10.4,20.8,18.6,23,26.2,22.4,17.1,20.3,23.6,34.3,20,319.2,12
12,Derrick Henry,RB,TEN,13.1,8.4,25,BYE,18.3,38.4,13.2,17.2,6.8,10.9,19.2,36.5,4.9,34.2,23.2,9.8,35,19.6,314.1,13
13,Alvin Kamara,RB,NO,18.7,29.4,31.7,17.9,11.9,BYE,14.8,16.3,10.9,27.8,10.5,5.2,15.7,15.4,15.4,53.2,-,19.7,294.8,14
14,Dalvin Cook,RB,MIN,20.8,15.1,23.9,26.6,14.9,-,BYE,46.6,37.2,11.2,20,6.2,17.9,17,21.9,14.5,-,21,293.8,15
15,Matt Ryan,QB,FA,24.9,28.5,12.4,12.4,7.9,31.6,17.5,18.9,23.4,-,7.3,14.9,12.9,10.3,27.8,19.9,22.7,18.3,293.4,16
16,Derek Carr,QB,NO,13.6,21.7,15.4,20.4,25,BYE,20.3,12.5,14,7.2,22.6,1.6,32.7,25.8,2.1,23.2,22.9,17.6,281.1,17
17,Ben Roethlisberger,QB,FA,22.1,19.2,19.2,-,21.4,11,15.6,15.3,25,29.3,17.7,13.5,19.2,15.5,7.7,25.5,-,18.5,277.2,18
18,Matthew Stafford,QB,LAR,17.2,17.2,18.5,23.3,-,13.3,18.4,23.4,10.4,23,7.6,17.1,27.1,14.4,15.3,0.7,23.6,16.9,270.6,19
19,Cam Newton,QB,FA,25.7,35.6,12.2,-,-,19.5,2.8,18.4,24.6,16.8,19.2,6,23.6,5.4,12.2,9.8,37.5,17.9,269,20
